Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Abies amabilis,"Pacific Silver Fir, Cascade Fir, Lovely Fir, White Fir, Red fir",,Tree,Up to about 200 feet tall.,Medium,Acidic (pH<6.8),Loam,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,False
Abies balsamea,"Balsam Fir, Blister Pine, Northern Balsam",Perennial,Tree,Up to about 75 feet tall.,Medium,Acidic (pH<6.8),"Well-drained, acid, moist soils.",Songbirds and squirrels eat seed and deer browse foliage. Deer and moose browse the foliage in winter.,yes,yes,yes,"Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.",Needled evergreen,Medium,3.0,6.0,Non-flowering,Non-flowering,No,60,Short,Single Stem,Conical,No Color,Evergreen,"Wet, Moist",Medium,,,Medium,Slow,"Spring, Summer",Low,No,Low,Low,Medium/,"Seed, Container, Bare root",Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acleris gloveranus, Acleris variana, Acronicta sperata, Amorbia humerosana, Anacamptodes ephyraria, Anacamptodes vellivolata, Aplectoides condita, Archepandemis borealis, Archepandemis morrisana, Archips alberta, Archips packardiana, Archips strianus, Argyresthia abies, Argyrotaenia niscana, Argyrotaenia velutinana, Automeris io, Barbara mappana, Campaea perlata, Caripeta angustiorata, Caripeta divisata, Choristoneura fumiferana, Choristoneura occidentalis, Choristoneura pinus, Choristoneura rosaceana, Cingilia catenaria, Cladara limitaria, Clemensia albata, Clepsis persicana, Coleotechnites atrupictella, Dasychira plagiata, Dasychira vagans, Dioryctria abietivorella, Dioryctria reniculella, Dolichomia thymetusalis, Ectropis crepuscularia, Eilema bicolor, Elaphria versicolor, Endothenia albolineana, Epermenia albapunctella, Epiblema radicana, Epinotia balsameae, Epirrita autumnata henshawi, Epirrita autumnata omissa, Eucosma tocullionana, Eueretagrotis perattentus, Eufidonia discospilata, Eufidonia notataria, Eulithis explanata, Eupithecia albicapitata, Eupithecia annulata, Eupithecia filmata, Eupithecia gibsonata, Eupithecia lariciata, Eupithecia luteata, Eupithecia mutata, Eupithecia mutata mutata, Eupithecia palpata, Eupithecia transcanadata, Eutrapela clemataria, Feralia comstocki, Feralia jocosa, Griselda radicana, Hyalophora columbia columbia, Hydriomena divisdaria, Hydriomena furcata, Hydriomena renunciata, Hypagyrtis piniata, Hypoprepia fucosa, Idia aemula, Korscheltellus gracilis, Lambdina fervidaria, Lambdina fiscellaria, Lambdina fiscellaria fiscellaria, Lithophane fagina, Lithophane innominata, Lophocampa argentata, Lymantria dispar, Macaria pustularia, Malacosoma disstria, Marmara fasciella, Melanolophia canadaria, Melanolophia imitata, Melanolophia signataria, Nematocampa filamentaria, Nemoria mimosaria, Neophasia menapia, Nepytia canosaria, Nepytia semiclusaria, Nycteola revayana, Orgyia antiqua, Orgyia antiqua nova, Orgyia leucostigma, Orgyia leucostigma intermedia, Orgyia leucostigma plagiata, Orthosia hibisci, Palthis angulalis, Panthea acronyctoides, Paralobesia piceana, Peridroma saucia, Pero morrisonaria, Phlogophora periculosa, Probole amicaria, Prochoerodes transversata, Protoboarmia porcelaria, Protoboarmia porcelaria indicataria, Semiothisa bisignata, Semiothisa granitata, Semiothisa granitata-group, Semiothisa oweni, Semiothisa signaria dispuncta, Solenobia walshella, Sparganothis sulfureana, Sparganothis tristriata, Sphinx poecila, Synaxis pallulata, Syndemis afflictana, Syngrapha abstrusa, Syngrapha alias, Syngrapha rectangula, Syngrapha selecta, Syngrapha viridisigma, Tetracis cachexiata, Thallophaga hyperborea, Tolype laricis, Xestia badicollis, Xestia elimata, Xestia perquiritata, Xestia praevia, Zanclognatha cruralis, Zanclognatha minoralis, Zanclognatha protumnusalis, Zeiraphera canadensis, Zeiraphera diniana, Zeiraphera fortunana, Zeiraphera improbana, Zeiraphera ratzeburgiana, Zeiraphera unfortunana",,,Yes,Tree,True,True,True,False,True,False
Abies bracteata,Bristlecone Fir,,Tree,Up to about 75 feet tall. Trunk up to about 3 feet in diameter.,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Abies concolor,"White Fir, Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, Oyamel De California",Perennial,Tree,"Up to about 130 feet tall, spread up to about 60 feet.",Medium,,"Well-drained, gravelly or sandy-loam soils.","The winged seeds of this and other firs are eaten by songbirds and various mammals, especially squirrels and chipmunks. Deer and grouse feed on the foliage; porcupines gnaw the bark.",yes,,yes,"Seed is the easiest method of propagation. In nature, Abies seeds often germinate on melting snow fields. Cuttings should be taken from December through March and seem to root best if treated with hormone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,False
Abies fraseri,"Fraser Fir, She-balsam",Perennial,Tree,Up to about 75 feet tall.,Medium,,,,,,,,Needled evergreen,Medium,4.0,7.0,Non-flowering,Non-flowering,No,55,Moderate,Single Stem,Erect,No Color,Evergreen,"Moist, Dry",Medium,,Low,Low,Moderate,"Spring, Summer",Low,Yes,Low,Low,Low/,"Seed, Container, Bare root, Cutting",Low,Larval Food,Larval Host (Moth); Wind,,,,,,,,,,,Yes,Dioryctria abietivorella,,,Yes,Tree,True,True,True,False,True,False
Abies grandis,"Grand Fir, Giant Fir",,Tree,Up to more than 200 feet tall.,Medium,,Well-drained soils.,,,yes,yes,"Abies spp. are best propagated by seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,True
Abies lasiocarpa,Subalpine Fir,Perennial,Tree,Up to about 50 feet tall.,Medium,Acidic (pH<6.8),"Moist to dry, gravelly or sandy loams.",Provides valuable cover for birds and small mammals.,,yes,yes,"This species should be sown from seed. It is a slow process. In nature, Abies seeds often germinate on melting snow fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,False
Abies magnifica,"California Red Fir, Red Fir",Perennial,Tree,From 60 to 200 feet tall. Trunk 2-1/2 to 4 feet in diameter.,Medium,Acidic (pH<6.8),Well-drained soils.,,yes,yes,yes,"Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
Abies nobilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Abies procera,Noble Fir,Perennial,Tree,Up to more than 200 feet tall.,Low,,"Well-drained, mesic soils.",,,,yes,"This species is propagated from seed. In nature, Abies seeds often germinate on melting snow fields.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,False
